Ngày	24/07/2021
Số phiếu	PYC_210724222920
Tên đơn vi yêu cầu/thuê	None
Dự án	None
Tháp	None
Hạng mục công việc	None
Đề nghị phòng	Phòng USD
Mã số hàng hóa	HKCHONG2000K,HKNGANG1800C
Tên hàng hóa	Cây chống hoa kế 2000 không nòng,Giằng ngang hoa khế 1m8 có chụp
Đơn vị tính	Cây,Cây
Số lượng tổng	1000,1000
Số lượng đã cấp	500,500
Số lượng lần này	300,300
Thời gian cung cấp	31/07/2021
Ghi chú	None
Khối/phòng cung cấp VTTB	Phòng USD
Khối/phòng quản lí VTTB	Phòng An Toàn
Ban điều hành	None
Ý kiến của phòng ban phụ trách	None
